kind,dcs_category,native_id,identifier,name,phys_type,positions,routing,address,value_range,ifaces,fw_class
input,Lights,219,LIGHT_EXT_ANTICOLL,Anti-Collision Light Switch,default_2_position_tumb,,DCS-BIOS,0x8532,,"fixed_step,set_state,action",Switch2Pos
input,Lights,220,LIGHT_EXT_FUSELAGE,Fuselage Light Switch,multiposition_switch_limited,,DCS-BIOS,0x8532,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Lights,221,LIGHT_EXT_FLASH_MODE,Lighting Flash/Steady Switch,default_2_position_tumb,,DCS-BIOS,0x8532,,"fixed_step,set_state,action",Switch2Pos
input,Lights,222,LIGHT_EXT_NAV,Navigation Lights Switch,multiposition_switch_limited,,DCS-BIOS,0x8532,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Lights,223,LIGHT_EXT_TAIL,Tail Light Switch,multiposition_switch_limited,,DCS-BIOS,0x8532,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Air Condition,224,CABIN_PRESS,Cabin Pressure Switch,default_2_position_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state,action",Switch2Pos
input,Air Condition,225,WINDSHLD_DEFROST,Windshield Defrost Switch,default_3_position_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state",Switch3Pos
input,Air Condition,226,CABIN_TEMP,Cabin Temperature Knob,default_axis_limited,,DCS-BIOS,0x8546,,"set_state,variable_step",AnalogInput
input,Doppler Nav,236,PPOS_LAT_BTN,Present Latitude Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,237,PPOS_LON_BTN,Present Longitude Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,238,DEST_LAT_BTN,Destination Latitude Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,239,DEST_LON_BTN,Destination Longitude Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,240,ASN41_MAGVAR_BTN,Magnetic Variation Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,241,ASN41_WINDSPEED_BTN,Wind Speed Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,242,ASN41_WINDDIR_BTN,Wind Direction Push-to-Set Knob,default_button_axis,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,177,PPOS_LAT_KNB,ASN-41 Present Position - Latitude Knob,analog_dial,,DCS-BIOS,0x8524,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,183,PPOS_LON_KNB,ASN-41 Present Position - Longitude Knob,analog_dial,,DCS-BIOS,0x8526,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,190,DEST_LAT_KNB,ASN-41 Destination - Latitude Knob,analog_dial,,DCS-BIOS,0x8528,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,196,DEST_LON_KNB,ASN-41 Destination - Longitude Knob,analog_dial,,DCS-BIOS,0x852a,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,203,ASN41_MAGVAR_KNB,ASN-41 Magnetic Variation Knob,analog_dial,,DCS-BIOS,0x852c,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,209,ASN41_WINDSPEED_KNB,ASN-41 Wind Speed Knob,analog_dial,,DCS-BIOS,0x852e,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,213,ASN41_WINDDIR_KNB,ASN-41 Wind Direction Knob,analog_dial,,DCS-BIOS,0x8530,0-65535,variable_step,RotaryEncoder
input,Doppler Nav,247,DOPPLER_MEM_TEST,AN/APN-153 Memory Light Test,default_button,,DCS-BIOS,0x8512,,"fixed_step,set_state,action",ActionButton
input,Doppler Nav,248,ASN41_LAT_SLEW,Destination Latitude Slew Knob,springloaded_3_pos_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state",Switch3Pos
input,Doppler Nav,249,ASN41_LON_SLEW,Destination Longitude Slew Knob,springloaded_3_pos_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state",Switch3Pos
input,MCL,250,MCL_CHAN_SEL,MCL Channel Selector Switch,multiposition_switch_limited,20,DCS-BIOS,0x854C,,"fixed_step,set_state",AnalogMultiPos(>7)
input,Mechanical Systems,251,SEAT_ADJ,Seat Adjustment Switch,springloaded_3_pos_tumb,,DCS-BIOS,0x854C,,"fixed_step,set_state",Switch3Pos
input,T Handles,252,EMERG_GEN_BYPASS,Emergency Generator Switch,default_2_position_tumb,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",Switch2Pos
input,MCL,253,MCL_PWR,AN/ARA-63 MCL Power Switch,springloaded_forward_only_3_pos_tumb,,DCS-BIOS,0x854C,,"fixed_step,set_state",Switch3Pos
input,TACAN,254,TACAN_ANT_CONT,TACAN Antenna Control Switch (unimplemented),inverted_3_position_tumb,,DCS-BIOS,0x854C,,"fixed_step,set_state",Switch3Pos
input,MCL,255,NAV_DEAD,Navigation Dead Reckoning/Doppler Switch (unimplemented),default_2_position_tumb,,DCS-BIOS,0x8554,,"fixed_step,set_state,action",Switch2Pos
input,Fuel Systems,256,FUEL_TRANS,Fuel Transfer Switch,default_2_position_tumb,,DCS-BIOS,0x8554,,"fixed_step,set_state,action",Switch2Pos
input,Avionics,257,RAIN_REMOVE,Rain Removal Switch (unimplemented),default_2_position_tumb,,DCS-BIOS,0x8554,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,258,AFCS_1N2_COVER,AFCS 1-N-2 Guard Switch,default_2_position_tumb,,DCS-BIOS,0x854C,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,259,AFCS_1N2,AFCS 1-N-2 Switch,springloaded_3_pos_tumb,,DCS-BIOS,0x854C,,"fixed_step,set_state",Switch3Pos
input,UHF Radio,361,ARC51_FREQ_PRE,Radio Preset Channel Selector,multiposition_switch_limited,20,DCS-BIOS,0x853A,,"fixed_step,set_state",RotaryEncoder
input,UHF Radio,365,ARC51_VOL,Radio Volume,default_axis_limited,,DCS-BIOS,0x853C,,"set_state,variable_step",AnalogInput
input,UHF Radio,366,ARC51_XMIT_MODE,Radio Frequency Mode,multiposition_switch_limited,,DCS-BIOS,0x8532,,"fixed_step,set_state",Switch3Pos
input,UHF Radio,367,ARC51_FREQ_10MHZ,Radio Frequency 10 MHz,multiposition_switch_limited,18,DCS-BIOS,0x853A,,"fixed_step,set_state",RotaryEncoder
input,UHF Radio,368,ARC51_FREQ_1MHZ,Radio Frequency 1 MHz,multiposition_switch_limited,10,DCS-BIOS,0x853A,,"fixed_step,set_state",RotaryEncoder
input,UHF Radio,369,ARC51_FREQ_50KHZ,Radio Frequency 50 kHz,multiposition_switch_limited,20,DCS-BIOS,0x853E,,"fixed_step,set_state",RotaryEncoder
input,UHF Radio,370,ARC51_SQUELCH,Radio Squelch Disable,default_2_position_tumb,,DCS-BIOS,0x8532,,"fixed_step,set_state,action",Switch2Pos
input,UHF Radio,372,ARC51_MODE,AN/ARC-51A UHF Radio Mode Switch,multiposition_switch_limited,4,DCS-BIOS,0x853A,,"fixed_step,set_state",SwitchMultiPos
input,Off,390,GUNPOD_CLEAR,Gunpod Switch,multiposition_switch_limited,,DCS-BIOS,0x84EA,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Gunpods,391,GUNPOD_L,Gunpod Station LH Switch,default_2_position_tumb,,DCS-BIOS,0x84EA,,"fixed_step,set_state,action",Switch2Pos
input,Gunpods,392,GUNPOD_C,Gunpod Station CTR Switch,default_2_position_tumb,,DCS-BIOS,0x84EA,,"fixed_step,set_state,action",Switch2Pos
input,Gunpods,393,GUNPOD_R,Gunpod Station RH Switch,default_2_position_tumb,,DCS-BIOS,0x84EA,,"fixed_step,set_state,action",Switch2Pos
input,Radar Scope,400,RADAR_STORAGE,Radar Indicator Storage,default_axis_limited,,DCS-BIOS,0x84F2,,"set_state,variable_step",AnalogInput
input,Radar Scope,401,RADAR_BRILLIANCE,Radar Indicator Brilliance,default_axis_limited,,DCS-BIOS,0x84F4,,"set_state,variable_step",AnalogInput
input,Radar Scope,402,RADAR_DETAIL,Radar Indicator Detail,default_axis_limited,,DCS-BIOS,0x84F6,,"set_state,variable_step",AnalogInput
input,Radar Scope,403,RADAR_GAIN,Radar Indicator Gain,default_axis_limited,,DCS-BIOS,0x84F8,,"set_state,variable_step",AnalogInput
input,Radar Scope,404,RADAR_RETICLE,Radar Indicator Reticle,default_axis_limited,,DCS-BIOS,0x84FA,,"set_state,variable_step",AnalogInput
input,Radar Scope,405,RADAR_FILTER,Radar Indicator Filter Plate,default_2_position_tumb,,DCS-BIOS,0x84EA,,"fixed_step,set_state,action",Switch2Pos
input,ECM Panel,501,ECM_APR27_PW,APR-27 Switch,default_2_position_tumb,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",Switch2Pos
input,ECM Panel,502,ECM_SEL,AN/APR-25 Function Selector Switch,multiposition_switch_limited,4,DCS-BIOS,0x853E,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,ECM Panel,503,ECM_AUDIO,Audio ALQ Switch,default_2_position_tumb,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",Switch2Pos
input,ECM Panel,504,ECM_APR25_PW,APR-25 Switch,default_2_position_tumb,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",Switch2Pos
input,?,505,ECM_MSL_VOL,Missile Alert Volume,default_axis_limited,,DCS-BIOS,0x8542,,"set_state,variable_step",AnalogInput
input,?,506,ECM_PRF_VOL,PRF Volume,default_axis_limited,,DCS-BIOS,0x8540,,"set_state,variable_step",AnalogInput
input,ECM Panel,507,ECM_APR27_TEST,APR-27 Test,default_button,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",ActionButton
input,,509,,Compass Latitude Knob (unimplemented),default_axis_limited,,HID/keybind,,,,AnalogInput
input,ECM Panel,510,ECM_APR27_LIGHT,APR-27 Light,default_button,,DCS-BIOS,0x853E,,"fixed_step,set_state,action",ActionButton
input,,511,,Compass Heading Set Knob (unimplemented),springloaded_3_pos_tumb,,HID/keybind,,,,Switch3Pos
input,,512,,Compass Mode (unimplemented),default_2_position_tumb,,HID/keybind,,,,Switch2Pos
input,,513,,Compass Push-to-Sync (unimplemented),default_button,,HID/keybind,,,,ActionButton
